*,2022 Fletch
=,MFG,MDL,GRS,LEN,HGT,FTYPE
-,VaneTec
Elite VLD 1 3/4,0.6,1.75,0.33,SpinWing
Elite 2,0.7,2,0.375,SpinWing
Elite 2 3/16,0.8,2.19,0.375,SpinWing
Elite 3,1.1,2.9,0.375,SpinWing
Elite 3 7/8,1.7,3.875,0.375,SpinWing
Hunter 4,2,4,0.475,SpinWing
Hunter 5,2.9,5,0.475,SpinWing
-,Spider
UltraSoft 1.8,0.8,1.8,0.375,SpinWing
UltraSoft 3.5,2.2,3.5,0.375,SpinWing
UltraSoft Recurve,1.2,1.8,0.375,SpinWing
UltraSoft Recurve,3.1,3.5,0.375,SpinWing
-,Spin Wing
Std 1 9/16,0.4,1.56,0.375,SpinWing
Std 1 3/4 Lo,0.6,1.75,0.375,SpinWing
Std 1 3/4,0.7,1.75,0.35,SpinWing
Std 2,0.7,2,0.375,SpinWing
Std 2 3/16,0.9,2.19,0.375,SpinWing
Std 2 13/16,1.5,2.81,0.375,SpinWing
Elite 1 3/4,0.6,1.75,0.375,SpinWing
Elite 2 3/16,0.8,2.19,0.375,SpinWing
Elite 3 7/8,1.7,3.875,0.375,SpinWing
Hunter 4,2,4,0.475,SpinWing
Hunter 5,2.9,5,0.475,SpinWing
-,SuperFlonite
Curled Spin,2.1,1.75,0.4,Vane
Solid Straight,1.7,1.75,0.4,Vane
Spin,2.7,1.75,0.4,Vane
Solid 1 3/4,2.7,1.75,0.4,Vane
Solid 1 7/8,3.1,1.875,0.4,Vane
-,Gateway
Rayzr,1.4,2,0.625,Vane
Tomahawk,1.75,2,0.425,Vane
Feather 2 1/4,1.9,2.25,0.625,Feather
Feather 2 1/2,1.5,2.5,0.5,Feather
Feather 3,1.7,3,0.5,Feather
Feather 4,3,4,0.655,Feather
Feather 5,3.3,5,0.655,Feather
Feather 5 1/2,5.25,5.5,0.655,Feather
-,Ozark
Feather 3.0,2,3,0.5,Feather
Target MAXX 4.5,3,4.5,0.655,Vane
-,TruFlight
HP Shield,1.2,2,0.531,Vane
Feather Para 2 1/2,1.5,2.5,0.5,Feather
Feather Para 3,1.7,3,0.5,Feather
Feather Para 4,3,4,0.5625,Feather
Feather Para 5,3.3,5,0.5625,Feather
Feather Shield 4,3,4,0.5625,Feather
Feather Shield 5,3.3,5,0.5625,Feather
-,Turbo Nock
Dead-X,0,0.75,0.35,Vane
Dead-X Glow,0,0.75,0.35,Vane
Hunter,0,0.9,0.45,Vane
Hunter Glow,0,0.9,0.45,Vane
HTX,0,0.9,0.45,Vane
HTAX,0,0.9,0.45,Vane
HTAX2,0,0.9,0.45,Vane
-,StarrFlight
FOB GEN2.287 1.0,23,0.5,0.39,FOB
FOB GEN2.317 1.0,24,0.5,0.375,FOB
FOB GEN1 1.0,24.5,0.5,0.375,FOB
FOB GEN1 1.25,29,0.5,0.39,FOB
-,Rage
Helios,25,1.5,0.55,Vane
Helios Lighted,54,1.5,0.55,Vane
-,X-Spot
HP 2,5.7,2,0.55,Vane
-,EOF
