*,2022 Shafts
=,MFG,MDL,SIZE,USE,OD,STKLEN,SPINE,GPI,PI,BPC,STDN
-,ABC
DeadRinger,340 G-UNI,TCd,0.347,32.25,0.34,8.5,40,13,12
DeadRinger,500 S-UNI,TCd,0.344,32.25,0.5,7.2,40,9,12
DeadRinger,400 S-UNI,TCd,0.345,32.25,0.4,7.9,40,9,12
DeadRinger,340 S-UNI,TCd,0.347,32.25,0.34,8.5,40,9,12
Pork Chop,500,HCd,0.284,31,0.5,7.3,19,0,12
Pork Chop,400,HCd,0.294,31.5,0.4,8.8,19,0,12
Pork Chop,340,HCd,0.298,32,0.34,9.6,19,0,12
Pork Chop,300,HCd,0.3,32.5,0.3,10.2,19,0,12
Nightfall,500,BCd,0.284,31,0.5,8.1,22,0,12
Nightfall,400,BCd,0.294,31.5,0.4,9,22,0,12
Nightfall,340,BCd,0.298,32,0.34,9.5,22,0,12
Nightfall,300,BCd,0.3,32.5,0.3,10.7,22,0,12
ICS Speed,500,BCd,0.284,31,0.5,6.6,22,0,12
ICS Speed,400,BCd,0.294,31.5,0.4,7.2,22,0,12
ICS Speed,340,BCd,0.298,32,0.34,8.1,22,0,12
ICS Speed,300,BCd,0.3,32.5,0.3,8.7,22,0,12
ICS Hunter Pro,500,BCd,0.284,31,0.5,7.5,22,0,12
ICS Hunter Pro,400,BCd,0.294,31.5,0.4,8.1,22,0,12
ICS Hunter Pro,340,BCd,0.298,32,0.34,8.8,22,0,12
ICS Hunter Pro,300,BCd,0.3,32.5,0.3,9.5,22,0,12
ICS Hunter Pro Lost,500,BCd,0.285,31,0.5,7.6,22,0,12
ICS Hunter Pro Lost,400,BCd,0.295,31.5,0.4,8.2,22,0,12
ICS Hunter Pro Lost,340,BCd,0.299,32,0.34,8.9,22,0,12
ICS Hunter Pro Lost,300,BCd,0.301,32.5,0.3,9.6,22,0,12
ICS Hunter,JR,HCd,0.284,31,0.65,7.3,21,0,12
ICS Hunter,500,HCd,0.284,31,0.5,7.3,21,0,12
ICS Hunter,400,HCd,0.294,31.5,0.4,8.4,21,0,12
ICS Hunter,340,HCd,0.298,32,0.34,9.3,21,0,12
ICS Hunter,300,HCd,0.3,32.5,0.3,9.5,21,0,12
ICS Camo Hunter,500,HCd,0.284,31,0.5,8,23,0,12
ICS Camo Hunter,400,HCd,0.294,31.5,0.4,9.1,23,0,12
ICS Camo Hunter,340,HCd,0.298,32,0.34,10,23,0,12
ICS Camo Hunter,300,HCd,0.3,32.5,0.3,10.1,23,0,12
MFX Bone Collector,JR,HCd,0.266,28,0.6,8,16,0,12
MFX Bone Collector,500,HCd,0.266,31,0.5,8.1,16,0,12
MFX Bone Collector,400,HCd,0.27,31.5,0.4,9,16,0,12
MFX Bone Collector,340,HCd,0.274,32,0.34,9.5,16,0,12
MFX Bone Collector,300,HCd,0.278,32.5,0.3,10.7,16,0,12
MFX Classic,600-Br,HCd,0.266,31,0.6,8,50,0,12
MFX Classic,500-Br,HCd,0.27,31,0.5,9.7,50,0,12
MFX Classic,400-Br,HCd,0.274,31.5,0.4,10.4,75,0,12
MFX Classic,340-Br,HCd,0.278,32,0.34,11.2,75,0,12
FITA 93,500,TCd,0.357,32.25,0.5,7.1,40,9,12
FITA 93,400,TCd,0.361,33,0.4,7.8,40,9,12
FITA 93,340,TCd,0.366,33.25,0.34,8.3,40,9,12
Carbon Flash,1400,TCd,0.203,0,1.4,5.3,0,0,12
Carbon Flash,1200,TCd,0.203,0,1.2,6.3,0,0,12
Carbon Flash,1000,TCd,0.203,0,1,5.6,0,9,12
Carbon Flash,900,TCd,0.203,0,0.9,6.4,0,9,12
Carbon Flash,750,TCd,0.219,0,0.75,6.2,0,12,12
Carbon Flash,630,TCd,0.219,0,0.63,7,0,12,12
Carbon Flash,570,TCd,0.219,0,0.57,7.2,0,12,12
ICS Energy,1000,BCd,0.23,29.5,1,5.68,0,2,12
ICS Energy,900,BCd,0.23,29.5,0.9,5.83,0,2,12
ICS Energy,780,BCd,0.244,30,0.78,6.3,16,4,12
ICS Energy,690,BCd,0.244,30.5,0.69,6.27,16,4,12
ICS Energy,600,BCd,0.256,31,0.6,6.92,18,6,12
ICS Energy,520,BCd,0.277,31.5,0.52,7.09,9,10,12
ICS Energy,460,BCd,0.277,31.5,0.46,7.32,9,10,12
ICS Energy,410,BCd,0.284,32,0.41,7.6,11,12,12
